timestamp,hour,day_of_week,month,is_weekend,temperature_c,cloud_cover_pct,wind_speed_kmh,solar_irradiance,solar_generation_mw,wind_generation_mw,renewable_generation_mw,dispatchable_generation_mw,total_supply_mw,demand_mw,surplus_deficit_mw,battery_level_mwh,battery_capacity_mwh
2025-12-27 00:00:00,0,5,12,1,22.5,0,3.8,0.0,0.0,30.002484532907808,30.002484532907808,124577.32707720473,121497.98062284556,120936.09644912473,561.8841737208277,69600.0,120000.0
2025-12-27 01:00:00,1,5,12,1,21.7,0,1.5,0.0,0.0,1.845356198034769,1.845356198034769,120390.56890012715,124342.64190224156,122806.09418078429,1536.5477214572747,70128.17112329758,120000.0
2025-12-27 02:00:00,2,5,12,1,21.0,0,3.1,0.0,0.0,16.28889081352706,16.28889081352706,119663.52380744451,119634.65043088273,118967.94400195443,666.7064289283007,71572.52598146742,120000.0
2025-12-27 03:00:00,3,5,12,1,20.5,0,3.8,0.0,0.0,30.002484532907808,30.002484532907808,114930.38345154238,120525.9090045236,122660.57437299346,-2134.6653684698686,72199.23002466002,120000.0
2025-12-27 04:00:00,4,5,12,1,20.0,0,4.3,0.0,0.0,43.47221784804457,43.47221784804457,118174.47227772928,119125.3861821046,122447.42101331046,-3322.034831205863,69878.94158067103,120000.0
2025-12-27 05:00:00,5,5,12,1,20.2,0,6.6,0.0,0.0,157.19482237339383,157.19482237339383,119487.20436941259,125790.54191283108,117466.12441683293,8324.417495998146,66268.03415544727,120000.0
2025-12-27 06:00:00,6,5,12,1,20.2,0,7.8,0.0,0.0,259.47184429327274,259.47184429327274,125133.52205173974,126924.14045128215,138602.26432408055,-11678.123872798402,72268.03415544727,120000.0
2025-12-27 07:00:00,7,5,12,1,19.7,0,8.0,3.0,36.0,279.94736989445994,315.94736989445994,131669.1537465551,133323.22928180394,151906.3203757122,-18583.091093908268,65268.03415544727,120000.0
2025-12-27 08:00:00,8,5,12,1,20.9,0,8.5,107.0,1284.0,335.78648151647496,1619.7864815164749,140669.1537465551,142846.6658835085,187606.13841682381,-44759.472533315304,58268.03415544727,120000.0
2025-12-27 09:00:00,9,5,12,1,23.6,0,7.7,301.0,3612.0,249.61955589849103,3861.619555898491,149669.1537465551,155474.64452512123,175848.18068293208,-20373.536157810857,51268.03415544727,120000.0
2025-12-27 10:00:00,10,5,12,1,26.9,0,7.3,489.0,5868.0,212.70368358248643,6080.7036835824865,158669.1537465551,163606.7358749324,189583.3516927058,-25976.61581777339,44268.03415544727,120000.0
2025-12-27 11:00:00,11,5,12,1,29.5,0,8.6,634.0,7608.0,347.7777427843566,7955.777742784357,162351.5744896804,169114.58888696402,149080.97942912142,20033.6094578426,37268.03415544727,120000.0
2025-12-27 12:00:00,12,5,12,1,31.5,0,6.5,716.0,8592.0,150.15731729934777,8742.157317299349,161726.0143310466,170859.9986495001,155984.0080822005,14875.990567299596,43268.03415544727,120000.0
2025-12-27 13:00:00,13,5,12,1,32.0,0,2.9,728.0,8736.0,13.335227352257775,8749.335227352258,152726.0143310466,160218.46455182933,137222.26618583873,22996.198365990596,49268.03415544727,120000.0
2025-12-27 14:00:00,14,5,12,1,31.9,0,5.4,668.0,8016.0,86.0969387755102,8102.09693877551,148323.34808307036,153649.13719737358,162677.56886102076,-9028.431663647178,55268.03415544727,120000.0
2025-12-27 15:00:00,15,5,12,1,31.2,0,10.0,543.0,6516.0,546.7722068251168,7062.772206825117,139888.34392788302,146233.6502103786,157465.7561122381,-11232.105901859497,48268.03415544727,120000.0
2025-12-27 16:00:00,16,5,12,1,29.8,0,12.4,367.0,4404.0,1042.489012065732,5446.489012065732,148888.34392788302,156531.40626641328,153877.03455046454,2654.3717159487423,41268.03415544727,120000.0
2025-12-27 17:00:00,17,5,12,1,28.5,0,9.8,167.0,2004.0,514.6176268861454,2518.6176268861454,157888.34392788302,162619.33359444168,175627.90298610125,-13008.569391659577,43763.14356843909,120000.0
2025-12-27 18:00:00,18,5,12,1,26.1,0,13.0,19.0,228.0,1201.2585383947821,1429.2585383947821,159804.43950664467,158147.5383868532,169703.85390622023,-11556.315519367025,36763.14356843909,120000.0
2025-12-27 19:00:00,19,5,12,1,25.2,0,12.9,0.0,0.0,1173.7498818972037,1173.7498818972037,168804.43950664467,171840.67835173974,188821.41257538152,-16980.734223641775,29763.14356843909,120000.0
2025-12-27 20:00:00,20,5,12,1,24.8,0,13.4,0.0,0.0,1315.590793930741,1315.590793930741,177804.43950664467,177943.22136854954,189374.81372949306,-11431.592360943527,22763.14356843909,120000.0
2025-12-27 21:00:00,21,5,12,1,24.3,0,13.4,0.0,0.0,1315.590793930741,1315.590793930741,182944.21081784618,183882.9098370698,171061.05463671064,12821.855200359161,15763.143568439089,120000.0
2025-12-27 22:00:00,22,5,12,1,23.9,0,12.3,0.0,0.0,1017.470356198035,1017.470356198035,187900.72856936132,194258.7921701896,189749.6063878568,4509.185782332817,21763.14356843909,120000.0
2025-12-27 23:00:00,23,5,12,1,23.7,0,10.6,0.0,0.0,651.2144466840231,651.2144466840231,178900.72856936132,179255.24587563946,127822.03852158817,51433.207354051294,26001.77820383194,120000.0
2025-12-28 00:00:00,0,6,12,1,23.4,0,8.0,0.0,0.0,279.94736989445994,279.94736989445994,169900.72856936132,171539.86789834485,133392.50248635153,38147.36541199332,32001.77820383194,120000.0
2025-12-28 01:00:00,1,6,12,1,22.4,0,4.2,0.0,0.0,40.509259259259274,40.509259259259274,160900.72856936132,162639.6816093688,122823.02911363916,39816.652495729635,38001.77820383194,120000.0
2025-12-28 02:00:00,2,6,12,1,21.5,0,3.3,0.0,0.0,19.64935279667423,19.64935279667423,151900.72856936132,149408.7238720761,124722.89786046318,24685.826011612924,44001.77820383194,120000.0
2025-12-28 03:00:00,3,6,12,1,20.8,0,3.3,0.0,0.0,19.64935279667423,19.64935279667423,142900.72856936132,142643.07542625655,126701.24767321137,15941.827753045174,50001.77820383194,120000.0
2025-12-28 04:00:00,4,6,12,1,20.1,0,3.6,0.0,0.0,25.510204081632647,25.510204081632647,133900.72856936132,136668.36425525192,127885.5861603886,8782.778094863315,56001.77820383194,120000.0
2025-12-28 05:00:00,5,6,12,1,20.0,0,4.1,0.0,0.0,37.68408726659388,37.68408726659388,129910.46053336782,129762.47665159007,117704.51351695343,12057.963134636637,62001.77820383194,120000.0
2025-12-28 06:00:00,6,6,12,1,20.0,0,6.7,0.0,0.0,164.44884924134263,164.44884924134263,131529.7353887908,133951.80787591013,149114.42853133552,-15162.620655425388,68001.77820383194,120000.0
2025-12-28 07:00:00,7,6,12,1,20.4,0,9.5,3.0,36.0,468.78882082668457,504.78882082668457,134963.66551511388,133029.88250413042,153110.66743964315,-20080.784935512725,61001.77820383194,120000.0
2025-12-28 08:00:00,8,6,12,1,21.9,0,9.6,107.0,1284.0,483.74905517762653,1767.7490551776266,143963.66551511388,145804.8664940523,170916.84817604598,-25111.981681993697,54001.77820383194,120000.0
2025-12-28 09:00:00,9,6,12,1,24.2,0,8.7,304.0,3648.0,360.0511385109599,4008.05113851096,152963.66551511388,162314.80368539068,192322.59143820373,-30007.78775281305,47001.77820383194,120000.0
2025-12-28 10:00:00,10,6,12,1,27.5,0,7.6,492.0,5904.0,240.01987626326246,6144.019876263263,161963.66551511388,169005.42011140427,174116.8865001917,-5111.466388787434,40001.77820383194,120000.0
2025-12-28 11:00:00,11,6,12,1,29.6,0,8.0,636.0,7632.0,279.94736989445994,7911.94736989446,164731.8396256181,171978.79829272977,150001.35368012122,21977.444612608553,34445.836476889075,120000.0
2025-12-28 12:00:00,12,6,12,1,31.2,0,5.7,720.0,8640.0,101.25838529856388,8741.258385298564,155731.8396256181,164843.79545283658,151279.32963247562,13564.465820360958,40445.836476889075,120000.0
2025-12-28 13:00:00,13,6,12,1,31.5,0,5.0,733.0,8796.0,68.3465258531396,8864.34652585314,146731.8396256181,154921.68505510417,162875.5629844662,-7953.877929362032,46445.836476889075,120000.0
2025-12-28 14:00:00,14,6,12,1,31.1,0,8.4,674.0,8088.0,324.0740740740742,8412.074074074075,148731.48890989646,157382.55789964876,166200.24899679364,-8817.691097144881,39445.836476889075,120000.0
2025-12-28 15:00:00,15,6,12,1,30.1,0,11.9,549.0,6588.0,921.398105281207,7509.398105281207,150530.96361684898,158501.97140864414,142663.49813983927,15838.473268804868,32445.836476889075,120000.0
2025-12-28 16:00:00,16,6,12,1,29.0,0,12.0,371.0,4452.0,944.8223733938017,5396.822373393802,145167.28912631582,153711.62086168092,161063.83867627318,-7352.217814592266,38445.836476889075,120000.0
2025-12-28 17:00:00,17,6,12,1,27.8,0,9.4,170.0,2040.0000000000002,454.1402466336329,2494.140246633633,154167.28912631582,158924.54756794692,188809.40236417615,-29884.85479622922,31445.836476889075,120000.0
2025-12-28 18:00:00,18,6,12,1,26.0,0,9.8,20.0,240.0,514.6176268861454,754.6176268861454,163167.28912631582,162828.89262260852,185052.75401993204,-22223.86139732352,24445.836476889075,120000.0
